"","Cell.ID","Value","Std.Error","p.value"
"306","8460",4.16163674000251e-07,5.92242694160978e-07,0.486124994111568
"307","8461",2.98207669484395e-07,6.28000001522126e-07,0.637351774844334
"308","8463",4.16163674000251e-07,5.92242694160978e-07,0.486124994111568
"309","8464",4.16163674000251e-07,5.92242694160978e-07,0.486124994111568
"310","8465",4.16163674000251e-07,5.92242694160978e-07,0.486124994111568
"311","8466",4.16163674000251e-07,5.92242694160978e-07,0.486124994111568
"312","8467",4.16163674000251e-07,5.92242694160978e-07,0.486124994111568
"313","8468",4.39640235134749e-07,5.84245742251658e-07,0.455952217524719
"314","8469",3.71766527375489e-07,6.06519513979254e-07,0.543214040010427
"315","8476",1.77753140200698e-07,5.38312638528475e-07,0.742887092716462
"316","8477",4.72421923384883e-07,4.59810485455178e-07,0.310100239063474
"317","8478",3.95138349729784e-07,4.71304017726472e-07,0.406555856269134
"318","8479",1.54966036526188e-07,5.5256885326056e-07,0.780511722101261
"319","8480",1.51644651189974e-07,4.78271053031215e-07,0.752762480352946
"320","8500",2.01358627414011e-07,6.33891299423746e-07,0.75232072771868
"321","8501",2.01358627414011e-07,6.33891299423746e-07,0.75232072771868
"322","8863",1.06763691738522e-06,2.73970055434865e-07,0.000344151105956961
"323","8864",1.70286616705275e-07,3.20627479983003e-07,0.598144180798976
"324","8865",-1.58048913795794e-08,2.51852648267137e-07,0.950259693012645
"325","8866",8.15644306544888e-09,2.12144347389658e-07,0.969512976075363
"326","8867",8.15644306544888e-09,2.12144347389658e-07,0.969512976075363
"327","8868",0,0,1
"328","8869",-2.72885084592827e-08,2.64738807169775e-07,0.918392387065432
"329","8872",0,0,1
"330","8873",0,0,1
"331","8874",0,0,1
"332","8875",0,0,1
"333","8876",0,0,1
"334","8877",0,0,1
"335","8878",0,0,1
"336","8879",0,0,1
"337","8880",0,0,1
"338","8881",0,0,1
"339","8882",0,0,1
"340","8883",6.77357905810147e-08,2.89639388411267e-07,0.816227933224443
"341","8884",6.77357905810147e-08,2.89639388411267e-07,0.816227933224443
"342","8887",6.77357905810147e-08,2.89639388411267e-07,0.816227933224443
"343","8888",6.77357905810147e-08,2.89639388411267e-07,0.816227933224443
"344","8889",6.77357905810147e-08,2.89639388411267e-07,0.816227933224443
"345","8895",3.18204998902008e-07,3.4741856479471e-07,0.364941965642576
"346","8896",3.21750813244937e-07,2.61087255001633e-07,0.224672838656954
"347","8897",2.33735367671663e-07,1.97960349654598e-07,0.24435826748995
"348","8898",1.81276767031201e-07,1.59087263915192e-07,0.260960157293946
"349","8899",2.48282232856629e-07,1.15729335155391e-07,0.0377506293041945
"350","8900",2.10077366689553e-07,1.56130637886474e-07,0.185675876973922
"351","8903",2.24716088235721e-07,3.62293677945476e-07,0.53843811409577
"352","8904",0,0,1
"353","8911",0,0,1
"354","8912",0,0,1
"355","8913",2.1677331227624e-07,2.02251386083725e-07,0.289929567085194
"356","8914",2.1677331227624e-07,2.02251386083725e-07,0.289929567085194
"357","8915",0,0,1
"358","8916",0,0,1
"359","8917",0,0,1
"360","8918",0,0,1
"361","8919",0,0,1
"362","8920",0,0,1
"363","8921",0,0,1
"364","8922",0,0,1
"365","8926",0,0,1
"366","8927",0,0,1
"367","8928",0,0,1
"368","8929",0,0,1
"369","8959",0,0,1
"370","8994",0,0,1
"371","8995",0,0,1
"372","8996",0,0,1
"373","8997",0,0,1
"374","8998",0,0,1
"375","8999",0,0,1
"376","9105",6.60718566111777e-07,3.03166618332457e-07,0.034961050375837
"377","9106",0,0,1
"378","9107",0,0,1
"379","9108",0,0,1
